strategy,run_id,length,steps
astar,5,58,796
astar,6,63,801
astar,7,49,615
astar,8,72,1040
astar,9,61,708
astar,10,54,704
astar,11,91,1527
astar,12,69,1058
astar,13,61,810
astar,14,53,715
astar,15,47,597
astar,16,88,1234
astar,17,53,630
astar,18,64,894
astar,19,59,821
astar,20,67,977
astar,21,44,482
astar,22,95,1501
astar,23,75,1233
astar,24,52,692
astar,25,54,714
astar,26,65,889
astar,27,77,982
astar,28,65,1026
astar,29,78,976
astar,30,64,797
astar,31,50,813
astar,32,50,581
astar,33,61,984
astar,34,42,468
astar,35,63,806
astar,36,68,987
astar,37,87,1166
astar,38,70,996
astar,39,42,512
astar,40,50,660
astar,41,25,260
astar,42,50,654
astar,43,64,883
astar,44,66,880
astar,45,74,985
astar,46,59,802
astar,47,45,548
astar,48,65,789
astar,49,66,948
astar,50,56,710
astar,51,51,598
astar,52,72,890
astar,53,70,932
astar,54,55,785
astar,55,36,406
astar,56,56,774
astar,57,74,925
astar,58,60,828
astar,59,75,1083
astar,60,67,917
astar,61,51,569
astar,62,76,1031
astar,63,49,568
astar,64,72,960
astar,65,55,708
astar,66,75,1086
astar,67,53,583
astar,68,60,816
astar,69,87,1089
astar,70,76,1079
astar,71,46,629
astar,72,65,821
astar,73,40,517
astar,74,58,654
astar,75,79,1210
astar,76,61,757
astar,77,83,1213
astar,78,52,722
astar,79,63,798
astar,80,71,984
astar,81,38,391
astar,82,69,872
astar,83,61,796
astar,84,70,1055
astar,85,74,984
astar,86,35,363
astar,87,65,835
astar,88,58,739
astar,89,42,466
astar,90,57,768
astar,91,67,933
astar,92,62,854
astar,93,57,779
astar,94,47,627
astar,95,63,834
astar,96,50,570
astar,97,50,653
astar,98,39,536
astar,99,51,743
astar,100,78,1049
astar,101,66,851
astar,102,67,898
astar,103,75,1063
astar,104,65,901
astar,105,63,858
astar,106,51,632
astar,107,67,983
astar,108,51,700
astar,109,77,1018
astar,110,66,869
astar,111,62,738
astar,112,58,773
astar,113,60,859
astar,114,63,787
astar,115,26,253
astar,116,48,598
astar,117,75,1150
astar,118,58,732
astar,119,62,931
astar,120,65,897
astar,121,51,630
astar,122,63,877
astar,123,54,653
astar,124,62,890
astar,125,70,971
astar,126,47,597
astar,127,62,789
astar,128,65,876
astar,129,60,864
astar,130,70,981
astar,131,39,435
astar,132,62,854
astar,133,66,918
astar,134,61,861
astar,135,72,1028
astar,136,47,532
astar,137,64,832
astar,138,95,1408
astar,139,44,600
astar,140,79,1221
astar,141,60,890
astar,142,50,688
astar,143,55,710
astar,144,65,833
astar,145,72,942
astar,146,66,989
astar,147,67,861
astar,148,62,714
astar,149,43,546
astar,150,75,1016
astar,151,67,944
astar,152,75,1169
astar,153,63,882
astar,154,55,703
astar,155,66,944
astar,156,59,890
astar,157,77,1111
astar,158,67,1086
astar,159,62,891
astar,160,73,1012
astar,161,75,1010
astar,162,86,1009
astar,163,58,789
astar,164,47,580
astar,165,74,1089
astar,166,49,580
astar,167,89,1239
astar,168,35,396
astar,169,31,330
astar,170,81,1360
astar,171,60,760
astar,172,45,563
astar,173,34,443
astar,174,42,517
astar,175,74,980
astar,176,46,538
astar,177,45,481
astar,178,49,591
astar,179,69,1013
